state,deaths,cases
Alabama,7566,455582
Alaska,253,53705
Arizona,13047,750787
Arkansas,4831,292563
California,40192,3292572
Colorado,5694,395772
Connecticut,7046,250023
Delaware,1078,76935
District of Columbia,907,36414
Florida,26253,1698562
Georgia,13557,875514
Guam,130,8548
Hawaii,404,25599
Idaho,1727,162482
Illinois,21147,1123152
Indiana,9925,625730
Iowa,4577,317689
Kansas,3779,277623
Kentucky,3910,362123
Louisiana,8801,397276
Maine,570,38813
Maryland,7076,350805
Massachusetts,14444,517252
Michigan,15401,606480
Minnesota,6236,459815
Mississippi,5983,272662
Missouri,7162,497838
Montana,1228,93322
Nebraska,2020,190709
Nevada,4225,276507
New Hampshire,1036,64838
New Jersey,21383,687269
New Mexico,3250,172798
New York,42825,1396063
North Carolina,9213,747322
North Dakota,1444,97483
Northern Mariana Islands,2,131
Ohio,11073,888591
Oklahoma,3471,384217
Oregon,1956,141729
Pennsylvania,21524,839888
Puerto Rico,1812,126583
Rhode Island,2154,114438
South Carolina,6942,435633
South Dakota,1768,107955
Tennessee,9374,708721
Texas,36804,2346818
Utah,1656,343962
Vermont,172,11658
Virgin Islands,24,2398
Virginia,6379,497912
Washington,4368,314033
West Virginia,2006,119467
Wisconsin,6393,589384
Wyoming,596,51690
